Customer_ID,First_Name,Last_Name,Email,Phone,Gender,DOB,Address,City,State,Country,Postal_Code,Registration_Date,Customer_Segment
CUST072433,Carolyn,Hanson,scontreras@example.net,(924)458-1301x709,Male,1973-11-01,"9576 Davis Road Apt. 916, South Shelley, FM 16987",Port Justinborough,Pennsylvania,Cook Islands,01092,2023-05-06,SMB
CUST790041,Zachary,Callahan,judy89@example.org,+1-596-508-7483x987,Other,1974-06-26,"39415 Thomas Falls, Lake Jeremy, NE 57955",New Michael,New Hampshire,Benin,11093,2021-02-23,Retail
CUST249702,Theodore,Hayden,amanda52@example.org,582.674.5318x7148,Other,1966-05-08,"13730 Graves Plaza, Donnaton, HI 99686",New Keithborough,Arizona,Andorra,89404,2025-02-21,Corporate
CUST954356,Nathaniel,Watkins,michael79@example.org,(853)723-4132x33127,Male,1969-06-24,"52606 Mathis Plains Suite 229, Silvahaven, SD 97070",Scottborough,North Dakota,Benin,01260,2025-04-21,SMB
CUST583026,Michael,Martin,smiller@example.org,(740)614-7947x59922,Other,1973-04-20,"930 Franklin Manors Suite 954, Sarahmouth, WV 79248",Smithtown,Virginia,Lao People's Democratic Republic,01730,2022-09-23,SMB
CUST747423,Michael,Good,rodriguezchristopher@example.net,948.874.2768x521,Other,1954-07-14,"596 Thomas Brooks Apt. 588, Phillipston, WV 47613",East Susanton,Ohio,Martinique,29025,2024-10-11,Retail
CUST796303,Melissa,Vance,wtaylor@example.net,(689)576-0206x774,Other,1995-06-04,"8671 Andrew Brooks Apt. 613, Jamesfurt, CA 59053",Rodriguezview,Utah,Hungary,96959,2024-04-20,Corporate
CUST766014,Christina,Fletcher,karen66@example.com,+1-922-969-4975x5831,Female,1997-09-17,"113 Aaron Wall, Weberstad, ID 43505",Romeroside,Arkansas,Montserrat,33848,2023-06-25,Corporate
CUST689767,Andrew,Skinner,msmith@example.org,437.579.8324x777,Male,1994-04-22,"72502 Lang Oval Apt. 011, Brittanybury, KS 43343",Murphyport,Minnesota,Chad,63690,2023-08-24,SMB
CUST887810,John,Wade,mburke@example.com,960.548.1955,Other,1969-02-23,"888 Edwards Tunnel Apt. 241, New Davidside, OK 70663",Port Brianbury,Minnesota,Maldives,10354,2020-09-20,SMB
CUST397046,Jennifer,Morgan,mrodriguez@example.com,(724)703-0212,Male,1980-01-06,"PSC 9309, Box 5143, APO AE 65746",Port Karenhaven,Washington,Syrian Arab Republic,09536,2025-01-08,SMB
CUST019362,Jillian,Torres,colealexandria@example.net,271.994.9037,Other,1993-03-12,"848 Shah Lake Suite 604, South Holly, AK 32698",Harrisshire,Idaho,Uzbekistan,11413,2023-05-16,SMB
CUST472924,Thomas,Davis,parkerelizabeth@example.org,704-756-1146x33695,Female,1995-08-14,"USS Fisher, FPO AP 04752",East Jacquelineshire,Arkansas,Albania,09803,2024-04-12,Corporate
CUST334901,Nicole,Lowery,udavis@example.org,+1-654-795-9965x4926,Female,1993-08-05,"6203 Butler Expressway, New Taylorburgh, ME 40868",Lake Cherylville,Illinois,Cameroon,50913,2023-06-30,Corporate
CUST040032,Randall,Galloway,johnnylowe@example.org,+1-639-476-9897x4947,Other,1979-11-21,"06794 Hansen Shores, South Jasmine, MA 19317",Lake Henry,Arizona,Myanmar,22898,2025-03-11,Corporate
CUST387422,Lawrence,Ramirez,jennifer77@example.net,512-468-6052,Other,1969-07-08,"040 Tara Club, Lake Lisaport, SD 67624",New Tarashire,Connecticut,Slovakia (Slovak Republic),53193,2022-02-27,Retail
CUST191745,Valerie,Sampson,kevin77@example.com,4103359262,Female,1975-09-22,"3358 Allen Parkway, Williamsonhaven, AR 49021",North Troystad,Washington,Bahrain,98154,2023-02-16,Retail
CUST707890,Bradley,Petersen,jamescooper@example.com,+1-923-544-2117x0978,Female,1959-10-24,"0621 Kevin Estate, Samueltown, IL 74428",New Jonathantown,Utah,Czech Republic,78922,2022-05-10,Retail
CUST195285,Heather,Rivera,byoung@example.net,001-818-275-5081x02052,Other,1968-11-24,"80690 Tony Dam, Jacksonville, HI 26575",Martinezville,Wisconsin,Slovakia (Slovak Republic),01853,2021-03-06,Retail
CUST698547,Lisa,Hester,nielsenjessica@example.org,(554)751-6027,Other,2000-03-15,"035 Stefanie Mount, New Ashley, NC 05147",Johnfurt,Indiana,Greece,65124,2024-05-03,Corporate
CUST951879,Elizabeth,Sutton,fowlerjanet@example.org,+1-357-997-0383x3329,Female,1995-05-03,"338 Bentley Forges, Lake Katelynborough, IN 07616",Chavezmouth,Delaware,Ireland,86533,2021-08-25,Retail
CUST203009,Elizabeth,Davis,kingrichard@example.com,(493)662-7377x319,Female,1960-12-06,"52583 Christina Wells, Johnburgh, FM 83115",Port Dwayne,Louisiana,Ethiopia,79417,2024-08-07,SMB
CUST007870,Patrick,Vance,gregory96@example.org,001-366-606-1565x93930,Male,1962-01-02,"54871 Bell Village Suite 791, Rodneyfort, WA 39772",Mcculloughfurt,Oregon,Singapore,21909,2024-11-13,Corporate
CUST862493,Samuel,Walters,pwhitehead@example.net,9104005892,Female,1973-03-18,"859 Michael Union Apt. 343, Lopezbury, MT 09799",South Lisaburgh,Oregon,Cyprus,38534,2021-02-28,Retail
CUST402832,Eric,Kirk,gutierrezjennifer@example.net,947.686.1489x775,Other,1982-09-18,"0847 Bonnie Orchard Apt. 792, Jeffreyburgh, IL 86878",Lake Angel,Kansas,Tunisia,00720,2022-08-25,Retail
CUST956918,Miguel,Farrell,davidthompson@example.com,(889)700-1441,Other,1999-04-10,"PSC 4360, Box 9442, APO AA 76914",Lake Jason,Washington,New Zealand,00826,2021-08-29,Corporate
CUST458727,Amanda,Johnson,robertsrachel@example.net,(359)458-5469,Female,1961-11-05,"0287 Adam Mission, Robbinsville, NC 50187",West Lisashire,Indiana,Honduras,61476,2021-12-21,Retail
CUST953447,Hannah,Wood,owilliams@example.org,2872965202,Other,1975-05-06,"2878 Vega Alley Suite 104, Lake Bryanside, RI 43340",Port Wendyside,Tennessee,Saudi Arabia,22852,2024-02-12,Corporate
CUST933207,Rebecca,Hunter,abigail23@example.net,580.754.8233x70232,Male,1985-04-14,"531 Young Plains, South Amy, RI 61005",Brownborough,Ohio,Rwanda,37310,2024-02-03,Retail
CUST750371,Victoria,Jensen,sheiladaniels@example.net,319-243-3414x297,Female,2002-10-12,"9044 Charles Ports Suite 233, West Kenneth, NJ 15174",Bradleytown,Mississippi,Macao,82264,2020-09-22,SMB
CUST025010,Stephanie,Cruz,wallacecolin@example.net,+1-274-920-2291x861,Male,1969-02-11,"USNS Berg, FPO AE 38942",Baileystad,New Jersey,Tanzania,74755,2023-11-09,Corporate
CUST247154,Sierra,Pearson,hjames@example.com,(948)816-8464,Female,1966-04-30,"937 Reese Trail Apt. 092, Christinatown, AZ 38526",Griffinside,Wyoming,Paraguay,17243,2023-05-13,Corporate
CUST087829,Amy,Davis,josephjenkins@example.org,001-826-483-7160x029,Male,1979-12-10,"PSC 8683, Box 4876, APO AP 63129",Lake Brittneyton,Rhode Island,Lesotho,41689,2024-11-19,Corporate
CUST699887,Amber,Morrow,martinezrichard@example.com,001-778-223-2922x49577,Other,2005-01-09,"2506 Taylor Brooks, Arthurport, IN 07816",Johnstonmouth,Rhode Island,Italy,82360,2024-12-03,SMB
CUST287780,Jennifer,Lopez,carolyn67@example.net,001-746-601-3763x552,Female,1964-04-22,"92680 Payne Summit Suite 798, Hartside, AS 78167",South Randyside,Connecticut,Saint Helena,24689,2024-01-07,Retail
CUST769678,Mark,Evans,juan96@example.net,(559)649-8190,Male,2005-02-04,"1401 Nicole Point Suite 161, Clarkshire, WA 10845",Lake John,Iowa,Macao,75927,2023-06-07,Retail
CUST526095,Jodi,Fox,cstevens@example.net,001-604-453-1120x182,Female,1964-05-06,"80333 Pierce Plaza, Port Danielborough, PR 11727",West Dominic,Hawaii,North Macedonia,50530,2025-01-10,SMB
CUST678526,Samantha,Jones,weberlisa@example.org,(286)247-5129,Other,1956-06-19,"42724 Collier Cliff, South Michael, ND 17799",Kristineborough,Massachusetts,Iceland,98227,2021-08-15,Corporate
CUST126806,Nicole,Brown,emma04@example.com,001-960-794-3202x221,Female,2000-07-29,"89937 Christopher Common Apt. 942, Christophershire, TN 74701",Stoneville,Missouri,Luxembourg,62915,2022-04-21,Corporate
CUST415054,Henry,Allen,susanriley@example.org,2935099863,Male,1957-06-17,"7432 Yu Meadow Apt. 102, East Kathleen, RI 98948",Rodriguezborough,Nebraska,Grenada,74462,2023-09-09,Retail
CUST404498,Adrienne,Moreno,gabriellesnyder@example.net,856-266-3422x3217,Female,1967-11-10,"3445 William Summit Apt. 210, Mccormickview, OR 45907",Wilsonville,Oregon,Croatia,09962,2022-07-09,Retail
CUST862341,Carrie,Lee,deanricky@example.com,3755350303,Other,1965-07-23,"76036 Joe Roads Apt. 386, New Tiffany, FM 12300",Clarkchester,North Carolina,Cook Islands,52493,2020-10-29,SMB
CUST377675,Andrew,Cordova,martinezstephanie@example.com,001-270-948-2745x5763,Other,2006-10-22,"PSC 8853, Box 7610, APO AE 16903",South Ashleyview,New Mexico,Hungary,15820,2023-01-04,Corporate
CUST965303,Debra,Jones,jose85@example.org,+1-628-594-2069x364,Male,1978-04-10,"2750 Williams Valley Suite 737, Millermouth, TX 99607",Nguyenland,Kentucky,Norfolk Island,84326,2021-12-02,Retail
CUST536959,Brandon,Davidson,jonesian@example.net,(437)924-9664x668,Other,1956-08-30,"313 Elizabeth Fort Apt. 960, New Edward, OH 64103",Wilsonmouth,Michigan,Netherlands,25423,2024-04-15,Retail
CUST435736,Richard,Hernandez,allenrobert@example.net,(648)863-0083,Female,1959-05-20,"13254 Thompson Fort, New Allison, MA 14993",East David,Connecticut,Kuwait,00716,2025-01-18,SMB
CUST792948,Rebecca,Allen,kfry@example.net,(903)939-1199,Female,1967-01-14,"96119 Ray Lakes Suite 034, East Kaylee, ME 86281",Lopezberg,Pennsylvania,Algeria,42397,2020-09-29,Retail
CUST650480,Jennifer,Hicks,jessica44@example.org,+1-667-893-7017x857,Male,1962-01-24,"6830 Cummings Roads Suite 375, Williamsstad, NE 14538",Adrianhaven,Minnesota,Zimbabwe,86076,2023-01-08,SMB
CUST442230,Ann,Thomas,pattersonchad@example.org,561.364.8719,Female,1978-06-13,"PSC 1450, Box 2471, APO AA 64387",Port Joshuamouth,West Virginia,Iceland,77579,2021-03-15,Corporate
CUST622988,Kenneth,Sandoval,tterrell@example.org,+1-720-610-6196x8542,Male,1960-11-24,"44511 Turner Trail, Johnsonland, IN 51177",Port Matthew,Texas,Angola,06788,2025-01-12,Retail
CUST187662,Jessica,Mccormick,michealgarcia@example.org,215-496-1905x08416,Female,1992-08-03,"63075 Luke Ranch Apt. 416, Mccoyberg, IL 07377",Hallhaven,North Dakota,Israel,95021,2024-10-03,SMB
CUST228389,Joshua,Daugherty,randy83@example.org,+1-977-845-0187x0828,Other,1966-10-20,"979 Wilson Freeway, West Denise, KY 93135",New Cindymouth,Utah,Cameroon,62512,2025-02-08,Corporate
CUST716247,Lisa,White,richardsonanthony@example.org,388.453.6511x380,Other,1987-06-26,"68542 Ashley Freeway, Osbornland, VI 52270",West Matthew,Oregon,Guinea,75458,2020-08-20,Corporate
CUST738652,Eric,Osborn,zachary85@example.com,5155887336,Male,1967-02-03,"9147 Martin Tunnel Apt. 122, East Jessicafurt, NJ 76262",Smithstad,Mississippi,Fiji,96443,2021-08-23,SMB
CUST568034,Kristin,Marshall,cochrancheryl@example.net,7053481429,Female,2007-04-18,"28482 Bennett Loop, Hernandezborough, CA 26765",Lake Seanport,Colorado,Uzbekistan,22593,2024-03-28,SMB
CUST497962,Sarah,Larson,bradleygary@example.com,931.963.2777,Other,1961-04-19,"047 Matthew Cliffs, Lake Joshuastad, VA 25817",East Amandaton,North Dakota,Saint Kitts and Nevis,45247,2022-01-06,Corporate
CUST641888,David,Sanders,elliottjeremy@example.com,001-773-723-4232x6654,Other,1989-12-31,"658 Jessica Ford Suite 732, Estradaberg, VA 49830",Meganborough,Washington,Venezuela,22104,2023-01-19,Retail
CUST899980,Michelle,Blair,barbara34@example.net,358.800.5235,Other,1997-10-10,"56766 Morales Gateway Suite 361, Nancymouth, VI 93808",New Madisonchester,California,Benin,07033,2022-11-04,SMB
CUST716461,Laurie,Mitchell,griffintimothy@example.org,001-918-485-4513x89202,Other,1994-08-10,"52549 Shawna Ferry Suite 566, West Ashleyfort, PR 34093",Lake Daniel,Rhode Island,Uzbekistan,42844,2024-10-30,Retail
CUST008716,Shawn,Mccarthy,ian08@example.org,001-912-249-4941x1024,Male,2002-04-02,"PSC 8289, Box 2305, APO AE 74061",North David,Alabama,Senegal,35376,2025-04-11,Retail
CUST245471,Christian,Jones,gabriellaholder@example.net,461-484-1991x0287,Female,1994-11-28,"51723 Timothy Heights Suite 257, Meganfurt, DC 87133",East Kristopherport,Rhode Island,Namibia,35939,2023-05-26,Corporate
CUST465657,Sarah,Griffin,sheppardmathew@example.com,001-310-505-8160x806,Other,1956-03-03,"35783 Meyers Grove, Chungburgh, OK 80341",East Johnfort,Vermont,Ecuador,30739,2022-12-07,Corporate
CUST801160,Christina,Wood,destinywheeler@example.net,492-245-5522,Other,1985-08-20,"63993 Watkins Trafficway, Port Virginia, MD 37907",Port Victor,Michigan,Mongolia,60414,2024-06-03,Corporate
CUST142580,Mary,Spencer,boydsusan@example.com,+1-712-532-5076,Female,1974-08-25,"17554 Coleman Plain, Lake Cherylhaven, AL 31754",North Alejandro,North Dakota,Saint Kitts and Nevis,18616,2022-06-30,Corporate
CUST372830,John,Taylor,irodriguez@example.com,689.981.9166,Other,1968-05-23,"Unit 8830 Box 1613, DPO AA 90142",Brendaburgh,Mississippi,Slovenia,04818,2024-07-27,SMB
CUST183180,Andrea,Baldwin,nicholstyler@example.net,822.298.2684x2386,Female,1998-12-03,"194 Mcdowell Mountains, South Ashley, WY 81192",Duanebury,Arkansas,Brunei Darussalam,10665,2023-07-13,SMB
CUST796861,Bonnie,Nunez,yolandabridges@example.com,8547772436,Female,1994-02-04,"0165 Toni Estates, West Jesusfurt, TN 81082",East Oliviaton,Pennsylvania,Solomon Islands,11318,2022-10-24,SMB
CUST107649,Sarah,Johnson,hayestimothy@example.com,+1-221-674-6501x1105,Male,1990-07-09,"77485 Rebecca Ports Suite 583, West Michelleville, AL 55407",Christopherburgh,Idaho,New Zealand,43975,2023-08-13,Corporate
CUST735435,David,Hogan,biancaorr@example.com,252-467-3417x1421,Male,1957-09-10,"22032 King Parks Apt. 412, West Leahstad, PR 23322",West Davidmouth,Georgia,Spain,04891,2024-08-23,SMB
CUST726916,David,Rodriguez,floydshane@example.com,(724)980-4919x59614,Other,1999-09-20,"816 Mcdonald Center, Knappfort, VT 51811",Owensfurt,Minnesota,Australia,75768,2023-11-22,SMB
CUST984477,Sheila,Williams,madelinenelson@example.org,(914)693-0724x2498,Other,2005-05-28,"65279 Le Unions Suite 258, Bushton, FL 68607",Popeland,Virginia,Aruba,97062,2022-06-14,Corporate
CUST259060,Taylor,Morgan,bmartin@example.net,3476379784,Other,2006-10-08,"77991 Travis Drive, Morganfurt, DE 31540",West Calvinchester,Ohio,American Samoa,57504,2024-05-27,Retail
CUST104800,Michelle,Delgado,annewalters@example.org,(220)569-1997x07566,Other,1974-10-18,"576 Jake Lodge, South Jordantown, GA 34255",Dominguezbury,West Virginia,Anguilla,17220,2025-05-13,SMB
CUST228016,Gregory,Davis,kevin51@example.com,443.623.0731x20310,Other,1965-05-28,"060 Mccall Rue Apt. 072, Port Stephanie, VT 74246",Greenchester,Alabama,Marshall Islands,03116,2020-11-13,Corporate
CUST960924,Debra,Wise,julia37@example.org,001-579-207-4360,Other,1981-01-15,"52155 Rodriguez Flat Suite 824, Jonathanport, NC 00599",South Tinashire,Idaho,Kiribati,66966,2023-11-19,SMB
CUST950161,Kristen,Ward,gtate@example.net,851-680-5659x697,Male,1972-11-14,"00201 Rodriguez Ridge, Brendaport, ND 01148",South Brandon,Michigan,Ecuador,35498,2024-01-11,SMB
CUST282716,John,Miller,keithpage@example.net,001-312-555-5262x534,Female,1969-08-19,"8230 Bobby Meadow, South Lisa, NE 89701",Wallaceton,Pennsylvania,Antigua and Barbuda,55985,2020-07-22,Retail
CUST277350,Nicole,Horton,bsingh@example.net,001-296-385-2458x876,Other,2000-07-25,"USCGC Turner, FPO AP 76423",Kimbury,Georgia,Tuvalu,91117,2024-11-14,Retail
CUST361268,Gregory,Hudson,robinsonraymond@example.net,001-903-542-7301,Male,1982-10-21,"9799 James Terrace, Mitchellshire, OK 70149",Phamhaven,Rhode Island,Chile,70953,2020-09-18,Retail
CUST492454,Katherine,Thompson,ohart@example.com,(361)575-9665x37356,Male,2002-06-08,"USNV Lee, FPO AP 32454",Kimberlyview,Maryland,Gambia,12290,2020-09-28,Corporate
CUST467221,Kimberly,Rocha,reneegomez@example.org,888.578.4702x160,Male,1997-04-15,"298 Jefferson Pines, Lake Kathleen, AZ 13607",Port Tammyland,Georgia,Guinea-Bissau,77483,2024-10-04,Corporate
CUST847743,Alan,Sanchez,riversjared@example.org,3517577048,Other,1970-09-24,"PSC 7124, Box 3720, APO AE 36939",North Samantha,Utah,Morocco,44800,2020-11-30,Retail
CUST741636,Zoe,Anderson,carterjohn@example.org,7505450892,Other,1979-12-28,"1438 Armstrong Trafficway Apt. 009, Christinestad, ID 05675",North Keith,Connecticut,Lithuania,73668,2022-12-29,Retail
CUST834095,Gabrielle,Williams,nmcdowell@example.com,(263)530-8263,Other,1969-08-12,"948 Kendra Views, West Nathan, ME 68144",Chapmanside,Oregon,Gambia,53777,2024-04-05,Retail
CUST756092,Tyler,Miller,barkercatherine@example.com,001-888-754-5576,Male,1995-07-28,"9364 Smith Glens Suite 275, East Deniseside, CO 33711",Justinstad,Montana,Bouvet Island (Bouvetoya),91971,2025-05-12,Corporate
CUST509503,Kristie,Williams,zanderson@example.com,208-526-7033x62476,Female,1956-10-15,"12961 Brittany Square Apt. 099, Lauraview, MA 77672",South Robin,South Carolina,Slovakia (Slovak Republic),03160,2024-04-13,Corporate
CUST332658,Steven,Lopez,ericaweber@example.net,412.984.4364,Male,1981-05-04,"640 Lyons Square Apt. 104, West Raymondton, UT 54671",Cainbury,Georgia,Guam,89306,2024-02-16,Corporate
CUST144198,Clifford,Clark,sullivanjody@example.com,(956)726-0880x984,Other,1960-04-02,"4631 Freeman Ranch, Wilsonport, NY 07347",Lake Angelaburgh,Mississippi,Serbia,86815,2021-05-27,Corporate
CUST405206,Jay,Gonzales,elizabeth24@example.net,001-562-336-9260x91535,Male,1961-05-11,"78375 Christine Rue, New Williamton, IA 44404",Tiffanyfurt,New Hampshire,Mauritania,45280,2024-02-04,Corporate
CUST735282,Lori,Taylor,btrevino@example.org,001-641-761-5534x68799,Other,1965-03-21,"1810 Newman Vista, East Jennifermouth, TN 37844",Lake Anita,Montana,Guatemala,08357,2023-10-10,Corporate
CUST987064,Jenna,Smith,kennethroy@example.net,546.294.7547x2004,Male,1958-02-09,"642 Kelley Divide, Nicolehaven, KY 55872",Cindyfurt,Kentucky,Samoa,88873,2020-12-30,Retail
CUST987847,Jeremy,Parker,joseph11@example.com,347-488-8227x10860,Female,1980-12-17,"364 Tiffany Brooks, New John, TX 41493",Montgomeryfurt,Hawaii,Albania,84397,2020-08-20,SMB
CUST550704,Victoria,Rice,jessicakim@example.net,001-535-562-6531,Male,1976-01-11,"2131 Anthony Trafficway Suite 021, Wagnermouth, DE 36615",Juliachester,Massachusetts,Iraq,21159,2022-11-28,Corporate
CUST780382,Jose,Pratt,crystal25@example.org,+1-281-850-5723,Male,1988-03-12,"6729 Michael Station, Merrittville, WY 73311",Rossshire,West Virginia,United States Virgin Islands,91409,2020-08-02,Retail
CUST667489,Raymond,Arellano,adam79@example.com,(614)560-6755,Other,1962-02-17,"76348 Timothy Brooks Suite 243, Lake Meredith, AK 70799",New Mark,Missouri,Colombia,39152,2022-03-11,SMB
CUST455780,Melody,Fernandez,robert32@example.org,772-292-3234x5221,Other,1961-03-25,"9778 William Squares, Lake Johnny, ND 59611",North Brittany,Kansas,Netherlands,65750,2023-05-29,Corporate
CUST270296,Brittany,Pena,schwartzlisa@example.net,623.577.7564x659,Other,2006-09-09,"29384 Kevin Crescent Suite 452, Kaylaton, IA 91532",North Annville,Wyoming,Jamaica,42484,2024-09-12,Retail
CUST774836,Dawn,Powell,shaun77@example.net,634.809.9441x4721,Female,2001-12-19,"901 Jason Centers, Cherylshire, GA 98786",North Christopherstad,Tennessee,Reunion,11263,2023-05-11,Corporate
CUST274656,Julia,Morris,mezamatthew@example.org,(621)895-6425x38660,Male,1999-09-24,"3663 Bruce Underpass Apt. 586, Whitakertown, WA 41874",North Taylor,Massachusetts,Tanzania,73194,2023-07-27,Retail
CUST397966,Monica,Morrison,kaylahernandez@example.org,(369)505-9566x20286,Female,1954-07-23,"0954 Dixon Grove, Maryfort, IA 38095",Heathershire,New Hampshire,Cote d'Ivoire,72957,2023-12-03,Retail
CUST382178,Natalie,Ferguson,michaelray@example.com,(419)428-4037x74182,Female,1985-11-01,"331 Theresa Bridge, Audreystad, FM 92419",North Nancyville,Nebraska,Georgia,49085,2022-03-11,SMB
CUST958172,Nancy,Wolfe,michael70@example.net,(760)564-0723x9141,Female,1980-11-17,"6128 Estes Forge, South Joel, RI 84543",Lake Kayla,Georgia,Libyan Arab Jamahiriya,64401,2022-09-05,Retail
CUST592267,Jennifer,Pitts,xbates@example.com,870-319-0973,Male,1992-08-02,"2248 Decker Turnpike Suite 291, Kimberlyshire, FL 52038",Port Michael,West Virginia,Morocco,56145,2020-06-30,Retail
CUST700708,Jason,Hicks,rosariojasmine@example.org,3127944116,Other,1968-03-22,"5192 Grant Meadows, Lake Deborah, IN 85893",Michaelville,Alaska,Korea,29175,2025-02-15,SMB
CUST959463,Robert,Brock,deanna61@example.org,+1-660-521-9934x739,Female,2003-11-05,"3960 Adam Row Suite 364, New Donald, ID 81255",Port Anthonymouth,Minnesota,Ethiopia,75618,2024-12-06,Retail
CUST547010,Sean,Jenkins,stacey19@example.org,773.684.7453,Female,1981-08-16,"7441 Bobby Garden, Jonesfort, OH 71960",South Kayla,Washington,Netherlands Antilles,08602,2023-06-18,SMB
CUST401610,Olivia,Garcia,vanessapoole@example.org,(226)742-2718,Male,1958-02-04,"80965 Johnson Turnpike, New Lori, PW 36505",Port Kevin,Massachusetts,Aruba,34358,2024-02-05,Corporate
CUST191087,Austin,Hartman,gary92@example.org,796-358-7468x4809,Male,1978-02-15,"6536 Kennedy Plains Suite 225, Rhodeschester, WA 93014",West Joseph,Montana,Pitcairn Islands,09911,2025-04-21,SMB
CUST861822,Shirley,Gonzalez,shughes@example.net,966-904-1768x672,Other,1968-08-14,"761 Renee Fords Apt. 289, Lake Renee, LA 78549",South Crystalside,Ohio,Rwanda,29766,2020-12-30,Retail
CUST909723,John,Ramirez,paul99@example.org,+1-364-473-4544x77565,Female,1962-05-07,"0648 Garcia Rue Suite 728, Jamieville, NV 02328",Port Jessica,Texas,South Georgia and the South Sandwich Islands,16964,2021-11-29,SMB
CUST164057,Angela,Parks,garciasharon@example.com,930-701-0309,Male,2006-08-05,"0654 Weber Stravenue Suite 714, Lawrencemouth, FM 10273",Port Joseph,Maine,San Marino,58213,2020-08-23,Retail
CUST219558,Michael,Allen,lrush@example.org,431.467.5671,Female,1977-08-28,"221 Clay Oval, South Justinborough, ME 59323",West Karen,Maine,Mozambique,13980,2022-07-16,Retail
CUST322131,Anthony,Woods,wellsjonathan@example.net,946.330.1433x005,Female,1957-09-24,"377 Schroeder Corners Apt. 018, South Saraborough, WA 93254",North John,Pennsylvania,Mexico,04444,2021-11-16,SMB
CUST214296,Lauren,Blair,bowmantodd@example.org,6623228000,Female,1998-11-20,"6936 Parrish Brook, Joelberg, WA 56148",Jacobtown,Michigan,France,31798,2021-03-08,Retail
CUST315999,Perry,Webb,diane00@example.net,361-629-5477x978,Female,1956-03-26,"650 Ashley Fords, Port Andrea, AS 63289",New Edward,Montana,Guadeloupe,27859,2023-12-20,SMB
CUST251572,Holly,Curtis,deannamelendez@example.com,7947644986,Other,1979-02-11,"USNV Coffey, FPO AA 53998",North Johnborough,Illinois,Gabon,07972,2023-10-17,Retail
CUST155033,Christine,Quinn,ocowan@example.com,647-972-5026,Male,1960-11-30,"09251 Tara Plains Suite 892, North Davidtown, CT 52160",East Rachelton,Georgia,Tunisia,07741,2022-01-22,SMB
CUST608915,Chad,Hammond,hoffmanerica@example.com,376-317-7410x59380,Female,1998-07-05,"970 Douglas Rapids Suite 357, East Lucas, ND 04271",Morganbury,Pennsylvania,Chile,62880,2022-03-12,Retail
CUST816989,Audrey,Williams,zacharysteele@example.com,2144153900,Male,1969-05-03,"171 Mark Plaza Suite 827, North Ronaldmouth, MH 08368",Lindseyview,Arizona,Canada,53879,2024-04-12,Retail
CUST108366,Dakota,Shepherd,garciasheryl@example.net,(452)876-7937x44241,Female,1990-04-05,"7118 Alexis Court, New Benjamin, CT 03318",South Johnbury,Washington,China,60320,2023-12-18,SMB
